Name,Stolen Bases,Rank
Craig Counsell,103,871
Cecil Espy,103,872
Herbie Moran,103,873
Victor Robles,103,874
Jordan Schafer,103,875
Robby Thompson,103,876
Bill White,103,877
Brad Ausmus,102,878
Cozy Dolan,102,879
Lou Gehrig,102,880
Felix Jose,102,881
Kazuo Matsui,102,882
Harrison Bader,101,883
Melky Cabrera,101,884
Corbin Carroll,101,885
Frank LaPorte,101,886
Russell Martin,101,887
John Moses,101,888
Dave Philley,101,889
Joe Sommer,101,890
CJ Abrams,100,891
Dom DiMaggio,100,892
Charlie Jones,100,893
Don Kessinger,100,894
Dwayne Murphy,100,895
Frank O'Rourke,100,896
J.T. Realmuto,100,897
Jimmy Bannon,99,898
José Caballero,99,899
Scott Fletcher,99,900
Joe Foy,99,901
Charlie Hollocher,99,902
Duke Snider,99,903
Marty Sullivan,99,904
Norichika Aoki,98,905
Cody Bellinger,98,906
Daryl Boston,98,907
Billy Clingman,98,908
Darrell Evans,98,909
Freddie Freeman,98,910
Keith Hernandez,98,911
Sam Jethroe,98,912
Mark Kotsay,98,913
Rick Monday,98,914
Gregory Polanco,98,915
Julio Rodríguez,98,916
Billy Sample,98,917
John Shelby,98,918
Tim Shinnick,98,919
Billy Sullivan,98,920
Chief Wilson,98,921
Jim Busby,97,922
Ivan Calderon,97,923
Hughie Critz,97,924
Alex Gonzalez,97,925
Pedro Guerrero,97,926
Adam Jones,97,927
Rafael Palmeiro,97,928
Gerardo Parra,97,929
Bill Spiers,97,930
Zoilo Versalles,97,931
Mike Bordick,96,932
Al Burch,96,933
Earle Combs,96,934
Gary Gaetti,96,935
Glenallen Hill,96,936
Bob Johnson,96,937
Manuel Margot,96,938
Curt Walker,96,939
Walt Weiss,96,940
Jason Bay,95,941
Nomar Garciaparra,95,942
Don Gutteridge,95,943
Desmond Jennings,95,944
John Kerins,95,945
Gary Matthews,95,946
Gus Williams,95,947
Harry Wolter,95,948
Bret Boone,94,949
Con Daily,94,950
Craig Gentry,94,951
Babe Herman,94,952
Jeff Kent,94,953
Isiah Kiner-Falefa,94,954
Johnnie LeMaster,94,955
Magglio Ordonez,94,956
Dave Robertson,94,957
Myles Straw,94,958
Rondell White,94,959
Charlie Abbey,93,960
Jay Faatz,93,961
Chase Headley,93,962
Arthur Irwin,93,963
Maicer Izturis,93,964
Spud Johnson,93,965
DJ LeMahieu,93,966
Kevin McReynolds,93,967
Melvin Mora,93,968
Joe Orsulak,93,969
Dansby Swanson,93,970
Neal Ball,92,971
Vin Campbell,92,972
Sid Farrar,92,973
Buck Freeman,92,974
