Name,Strikeouts,Rank
Luke Scott,662,
Gregor Blanco,661,897
Josh Harrison,661,
Orlando Merced,661,
Troy O'Leary,661,
Dave Collins,660,901
Tom Goodwin,660,
Harrison Bader,659,903
Al Cowens,659,
Dode Paskert,659,
Michael Brantley,658,906
Don Demeter,658,
Dickie Thon,658,
Walt Weiss,658,
J.P. Crawford,657,910
Lee Lacy,657,
Dale Sveum,656,912
Leon Wagner,656,
Rico Brogna,655,914
Dustin Pedroia,654,915
Tucker Barnhart,653,916
Bud Harrelson,653,
Luis Salazar,653,
Earl Torgeson,653,
Trent Grisham,652,920
James Loney,652,
Nick Punto,651,922
Danny Valencia,651,
Alexei Ramirez,650,924
Travis Shaw,650,
Tony Womack,649,926
Yonder Alonso,648,927
Willie Kirkland,648,
Ron Swoboda,647,929
Bill Virdon,647,
Bob Skinner,646,931
Mike Epstein,645,932
Tony Oliva,645,
Matt Adams,643,934
Ron Hansen,643,
Christian Vázquez,643,
Craig Wilson,643,
Mark Grace,642,938
Dan Pasqua,642,
Willie Upshaw,642,
Glenn Hubbard,640,941
Nate McLouth,639,942
Jerry Priddy,639,
Rod Barajas,638,944
Hank Bauer,638,
Angel Pagan,638,
Wilson Ramos,638,
Wilmer Flores,637,948
Leonys Martin,637,
Joe Oliver,637,
Bill Almon,636,951
Gus Bell,636,
Leroy Stanton,636,
Gus Triandos,636,
Mike Devereaux,635,955
Johnny Edwards,635,
Jim Northrup,635,
Franmil Reyes,635,
Milt Thompson,635,
George McQuinn,634,960
Jay Johnstone,632,961
Scott Podsednik,630,962
Tony Conigliaro,629,963
Dick Bartell,627,964
Frankie Hayes,627,
Lee Mazzilli,627,
Pete Runnels,627,
Lourdes Gurriel Jr.,626,968
Jack Howell,626,
Alex Johnson,626,
Xavier Nady,626,
Franklin Stubbs,626,
Shane Victorino,626,
Dan Gladden,625,974
Luis Alicea,624,975
Kelly Shoppach,624,
Gil McDougald,623,977
Stephen Piscotty,623,
Jesús Aguilar,622,979
Gene Alley,622,
Alan Ashby,622,
Alejandro De Aza,622,
Ryan Doumit,621,983
Hunter Dozier,621,
Rafael Ramirez,621,
Craig Paquette,620,986
Fernando Tatis Jr.,620,
Bob Meusel,619,988
Cliff Pennington,619,
Jack Wilson,619,
Dee Strange-Gordon,618,991
Edgardo Alfonzo,617,992
Jace Peterson,617,
Kevin Seitzer,617,
Eric Thames,617,
Rich Becker,616,996
Ollie Brown,616,
Mike Heath,616,
Chris Hoiles,616,
Rick Manning,616,1000
