Name,IBB,Rank
Dave Hansen,27,
Brian Harper,27,
Scott Hatteberg,27,
Jason Heyward,27,
Chuck Hinton,27,
Billy Johnson,27,
Bob Kennedy,27,
Jeff King,27,
Casey Kotchman,27,
Duane Kuiper,27,
Tom Lampkin,27,
Ketel Marte,27,
Joc Pederson,27,
Phil Plantier,27,
Pat Putnam,27,
Lenny Randle,27,
Roger Repoz,27,
Johnny Romano,27,
Tom Satriano,27,
Tony Scott,27,
Sammy Taylor,27,
Bobby Tolan,27,
George Vukovich,27,
Neil Walker,27,
Frank White,27,
Sammy White,27,
Willie Wilson,27,
Don Zimmer,27,
Tommie Agee,26,965
Luis Alicea,26,
Rafael Belliard,26,
Barry Bonnell,26,
Justin Bour,26,
Larry Brown,26,
Asdrubal Cabrera,26,
Orlando Cabrera,26,
Lenny Harris,26,
Gene Hermanski,26,
Ron Hodges,26,
Monte Irvin,26,
Brook Jacoby,26,
Stan Javier,26,
Pete LaCock,26,
Lee Lacy,26,
Johnny Logan,26,
Frank Malzone,26,
Gary Matthews,26,
Derrick May,26,
Bengie Molina,26,
Mike Moustakas,26,
Don Mueller,26,
Bob Oliver,26,
Don Pavletich,26,
Wilson Ramos,26,
Dave Revering,26,
Mark Reynolds,26,
R.J. Reynolds,26,
Brian Roberts,26,
Andre Rodgers,26,
Kelly Stinnett,26,
Zoilo Versalles,26,
Maury Wills,26,
Max Alvis,25,999
Mike Anderson,25,1000
Richie Ashburn,25,
David Bell,25,
Jay Bell,25,
Jeff Branson,25,
Paul Casanova,25,
Wayne Causey,25,
Gordy Coleman,25,
Eduardo Escobar,25,
Billy Goodman,25,
Jim Gosger,25,
Ozzie Guillen,25,
Joe Harris,25,
Danny Heep,25,
Richard Hidalgo,25,
Reggie Jefferson,25,
Brian Jordan,25,
Pat Kelly,25,
Steve Kemp,25,
Hal Lanier,25,
Eli Marrero,25,
Carmelo Martinez,25,
Logan Morrison,25,
Tom Paciorek,25,
Dustin Pedroia,25,
Gregory Polanco,25,
Bama Rowell,25,
Mackey Sasser,25,
Jean Segura,25,
Cory Snyder,25,
Daryl Spencer,25,
Mike Stanley,25,
John Stearns,25,
Ed Stevens,25,
Jim Tabor,25,
Hank Thompson,25,
Will Venable,25,
Omar Vizquel,25,
Jack Wilson,25,
